Time stamp,Value ,Building Total Consumption (Cooling + Electrical),,Note: Insert null data at the start of every FY - 31 March 11:59:00,,
1/4/2019 0:00:00,1620711.64,MD6 Total All Building Consumption Report,,April 2019,,
1/5/2019 0:00:00,1709496.412,MD6 Total All Building Consumption Report,,May 2019,,
1/6/2019 0:00:00,1623192.704,MD6 Total All Building Consumption Report,,June 2019,,
1/7/2019 0:00:00,1648553.812,MD6 Total All Building Consumption Report,,July 2019,,
1/8/2019 0:00:00,1634559.852,MD6 Total All Building Consumption Report,,Aug 2019,,
1/9/2019 0:00:00,1558002.868,MD6 Total All Building Consumption Report,,Sept 2019,,
1/10/2019 0:00:00,1583759.168,MD6 Total All Building Consumption Report,,Oct 2019,,
1/11/2019 0:00:00,1504990.972,MD6 Total All Building Consumption Report,,Nov 2019,,
1/12/2019 0:00:00,1475681.16,MD6 Total All Building Consumption Report,,Dec 2019,,
1/1/2020 0:00:00,1499786.972,MD6 Total All Building Consumption Report,,Jan 2020,,
1/2/2020 0:00:00,1418760.436,MD6 Total All Building Consumption Report,,Feb 2020,,
1/3/2020 0:00:00,1570987.276,MD6 Total All Building Consumption Report,,Mar 2020,,
1/4/2020 0:00:00,1424771.592,MD6 Total All Building Consumption Report,,April 2020,,
1/5/2020 0:00:00,1457241.212,MD6 Total All Building Consumption Report,,May 2020,,
1/6/2020 0:00:00,1504564.49,MD6 Total All Building Consumption Report,,June 2020,,
1/7/2020 0:00:00,1579650.636,MD6 Total All Building Consumption Report,,July 2020,,
1/8/2020 0:00:00,1576518.744,MD6 Total All Building Consumption Report,,Aug 2020,,
1/9/2020 0:00:00,1537499.5,MD6 Total All Building Consumption Report,,Sept 2020,,
1/10/2020 0:00:00,1622951.192,MD6 Total All Building Consumption Report,,Oct 2020,,
1/11/2020 0:00:00,1551193.188,MD6 Total All Building Consumption Report,,Nov 2020,,
1/12/2020 0:00:00,1572711.464,MD6 Total All Building Consumption Report,,Dec 2020,,
1/1/2021 0:00:00,1540898.096,MD6 Total All Building Consumption Report,,Jan 2021,,
1/2/2021 0:00:00,1417168.22,MD6 Total All Building Consumption Report,,Feb 2021,,
1/3/2021 0:00:00,1677124.992,MD6 Total All Building Consumption Report,,Mar 2021,,
1/4/2021 0:00:00,1558772.088,MD6 Total All Building Consumption Report,,Apr 2021,,
1/5/2021 0:00:00,1694988.42,MD6 Total All Building Consumption Report,,May 2021,,
1/6/2021 0:00:00,1611149.902,MD6 Total All Building Consumption Report,,June 2021,,
1/7/2021 0:00:00,1655057.956,MD6 Total All Building Consumption Report,,July 2021,,
1/8/2021 0:00:00,1543727.78,MD6 Total All Building Consumption Report,,Aug 2021,,
1/9/2021 0:00:00,1630484.183,MD6 Total All Building Consumption Report,,Sept 2021,,
1/10/2021 0:00:00,1678049.744,MD6 Total All Building Consumption Report,,Oct 2021,,
1/11/2021 0:00:00,1623098.108,MD6 Total All Building Consumption Report,,Nov 2021,,
1/12/2021 0:00:00,1619981.936,MD6 Total All Building Consumption Report,,Dec  2021,,
1/1/2022 0:00:00,1601764.252,MD6 Total All Building Consumption Report,,Jan 2022,,
1/2/2022 0:00:00,1431169.652,MD6 Total All Building Consumption Report,,Feb 2022,,
1/3/2022 0:00:00,1661846.28,MD6 Total All Building Consumption Report,,Mar 2022,,
1/4/2022 0:00:00,1623960.224,MD6 Total All Building Consumption Report,,Apr 2022,,
1/5/2022 0:00:00,1700338.816,MD6 Total All Building Consumption Report,,May 2022,,
1/6/2022 0:00:00,1621821.296,MD6 Total All Building Consumption Report,,June 2022,,
1/7/2022 0:00:00,1599880.912,MD6 Total All Building Consumption Report,,July 2022,,
1/8/2022 0:00:00,1671833.088,MD6 Total All Building Consumption Report,,Aug 2022,,
1/9/2022 0:00:00,1620944.224,MD6 Total All Building Consumption Report,,Sept 2022,,
1/10/2022 0:00:00,1648598.784,MD6 Total All Building Consumption Report,,Oct 2022,,
1/11/2022 0:00:00,1589200.848,MD6 Total All Building Consumption Report,,Nov 2022,,
1/12/2022 0:00:00,1565047.344,MD6 Total All Building Consumption Report,,Dec 2022,,
1/1/2023 0:00:00,1592962.944,MD6 Total All Building Consumption Report,,Jan 2023,,
1/2/2023 0:00:00,1491020.144,MD6 Total All Building Consumption Report,,Feb 2023,,
1/3/2023 0:00:00,1604686.528,MD6 Total All Building Consumption Report,,Mar 2023,,
1/4/2023 0:00:00,1574702.806,MD6 Total All Building Consumption Report,,Apr 2023,,
1/5/2023 0:00:00,1632741.584,MD6 Total All Building Consumption Report,,May 2023,,
1/6/2023 0:00:00,1554453.711,MD6 Total All Building Consumption Report,,June 2023,,
1/7/2023 0:00:00,1474407,MD6 Total All Building Consumption Report,,July 2023,,
1/8/2023 0:00:00,1448610.72,MD6 Total All Building Consumption Report,,Aug 2023,,
1/9/2023 0:00:00,1363906.816,MD6 Total All Building Consumption Report,,Sep 2023,,
1/10/2023 0:00:00,1429384.296,MD6 Total All Building Consumption Report,,Oct 2023,,
1/11/2023 0:00:00,1397368.824,MD6 Total All Building Consumption Report,,Nov 2023,,
1/12/2023 0:00:00,1294295.352,MD6 Total All Building Consumption Report,,Dec 2023,,
1/1/2024 0:00:00,1435907.512,MD6 Total All Building Consumption Report,,Jan 2024,,
1/2/2024 0:00:00,1352736.904,MD6 Total All Building Consumption Report,,Feb 2024,,
1/3/2024 0:00:00,1498134.612,MD6 Total All Building Consumption Report,,Mar 2024,,
1/4/2024 0:00:00,1560382.153,MD6 Total All Building Consumption Report,,Apr 2024,,
1/5/2024 0:00:00,1568038.856,MD6 Total All Building Consumption Report,,May 2024,,
1/6/2024 0:00:00,1550002.826,MD6 Total All Building Consumption Report,,June 2024,,
1/7/2024 0:00:00,1595124.286,MD6 Total All Building Consumption Report,,July 2024,,
1/8/2024 0:00:00,1506756.572,MD6 Total All Building Consumption Report,,Aug 2024,,
1/9/2024 0:00:00,1427165.539,MD6 Total All Building Consumption Report,,Sep 2024,,
1/10/2024 0:00:00,1414961.484,MD6 Total All Building Consumption Report,,Oct 2024,,
1/11/2024 0:00:00,1384566.662,MD6 Total All Building Consumption Report,,Nov 2024,,
1/12/2024 0:00:00,1571055.323,MD6 Total All Building Consumption Report,,Dec 2024,,
1/4/2021 0:00:00,566208.00,CeLS Total All Building Consumption Report,,Apr 2021,,
1/5/2021 0:00:00,631760.00,CeLS Total All Building Consumption Report,,May 2021,,
1/6/2021 0:00:00,541931.00,CeLS Total All Building Consumption Report,,June 2021,,
1/7/2021 0:00:00,569027.55,CeLS Total All Building Consumption Report,,July 2021,,
1/8/2021 0:00:00,550542.67,CeLS Total All Building Consumption Report,,Aug 2021,,
1/9/2021 0:00:00,528054.74,CeLS Total All Building Consumption Report,,Sept 2021,,
1/10/2021 0:00:00,584033.59,CeLS Total All Building Consumption Report,,Oct 2021,,
1/11/2021 0:00:00,554210.33,CeLS Total All Building Consumption Report,,Nov 2021,,
1/12/2021 0:00:00,508823.00,CeLS Total All Building Consumption Report,,Dec  2021,,
1/1/2022 0:00:00,556609.87,CeLS Total All Building Consumption Report,,Jan 2022,,
1/2/2022 0:00:00,556609.87,CeLS Total All Building Consumption Report,,Feb 2022,,
1/3/2022 0:00:00,556609.87,CeLS Total All Building Consumption Report,,Mar 2022,,
1/4/2022 0:00:00,829985.94,CeLS Total All Building Consumption Report,,Apr 2022,,
1/5/2022 0:00:00,784967.20,CeLS Total All Building Consumption Report,,May 2022,,
1/6/2022 0:00:00,784967.20,CeLS Total All Building Consumption Report,,June 2022,,
1/7/2022 0:00:00,784967.20,CeLS Total All Building Consumption Report,,July 2022,,
1/8/2022 0:00:00,829985.94,CeLS Total All Building Consumption Report,,Aug 2022,,
1/9/2022 0:00:00,724598.26,CeLS Total All Building Consumption Report,,Sept 2022,,
1/10/2022 0:00:00,918824.98,CeLS Total All Building Consumption Report,,Oct 2022,,
1/11/2022 0:00:00,785784.52,CeLS Total All Building Consumption Report,,Nov 2022,,
1/12/2022 0:00:00,784967.20,CeLS Total All Building Consumption Report,,Dec 2022,,
1/1/2023 0:00:00,794356.46,CeLS Total All Building Consumption Report,,Jan 2023,,
1/2/2023 0:00:00,885685.99,CeLS Total All Building Consumption Report,,Feb 2023,,
1/3/2023 0:00:00,870665.41,CeLS Total All Building Consumption Report,,Mar 2023,,
1/4/2023 0:00:00,736160.09,CeLS Total All Building Consumption Report,,Apr 2023,,
1/5/2023 0:00:00,683371.09,CeLS Total All Building Consumption Report,,May 2023,,
1/6/2023 0:00:00,634370.09,CeLS Total All Building Consumption Report,,June 2023,,
1/7/2023 0:00:00,704409.09,CeLS Total All Building Consumption Report,,July 2023,,
1/8/2023 0:00:00,786607.09,CeLS Total All Building Consumption Report,,Aug 2023,,
1/9/2023 0:00:00,778647.09,CeLS Total All Building Consumption Report,,Sep 2023,,
1/10/2023 0:00:00,728779.09,CeLS Total All Building Consumption Report,,Oct 2023,,
1/11/2023 0:00:00,773079.09,CeLS Total All Building Consumption Report,,Nov 2023,,
1/12/2023 0:00:00,683705.53,CeLS Total All Building Consumption Report,,Dec 2023,,
1/1/2024 0:00:00,688709.80,CeLS Total All Building Consumption Report,,Jan 2024,,
1/2/2024 0:00:00,646791.36,CeLS Total All Building Consumption Report,,Feb 2024,,
